"","Bracket","Picks","Round","Game"
"101","Chalupa Batman's Bracket","N. Carolina",16,"G38"
"102","Chalupa Batman's Bracket","Baylor",16,"G39"
"103","Chalupa Batman's Bracket","Arizona",16,"G40"
"104","Chalupa Batman's Bracket","Villanova",16,"G41"
"105","Chalupa Batman's Bracket","Louisville",16,"G42"
"106","Chalupa Batman's Bracket","Oklahoma",16,"G43"
"107","Chalupa Batman's Bracket","Virginia",16,"G44"
"108","Chalupa Batman's Bracket","Duke",16,"G45"
"109","Chalupa Batman's Bracket","Utah",16,"G46"
"110","Chalupa Batman's Bracket","Iowa St.",16,"G47"
"111","Chalupa Batman's Bracket","Gonzaga",16,"G48"
"112","Chalupa Batman's Bracket","Kentucky",8,"G49"
"113","Chalupa Batman's Bracket","Notre Dame",8,"G50"
"114","Chalupa Batman's Bracket","Wisconsin",8,"G51"
"115","Chalupa Batman's Bracket","Arizona",8,"G52"
"116","Chalupa Batman's Bracket","Villanova",8,"G53"
"117","Chalupa Batman's Bracket","Virginia",8,"G54"
"118","Chalupa Batman's Bracket","Duke",8,"G55"
"119","Chalupa Batman's Bracket","Gonzaga",8,"G56"
"120","Chalupa Batman's Bracket","Kentucky",4,"G57"
"121","Chalupa Batman's Bracket","Arizona",4,"G58"
"122","Chalupa Batman's Bracket","Virginia",4,"G59"
"123","Chalupa Batman's Bracket","Gonzaga",4,"G60"
"124","Chalupa Batman's Bracket","Kentucky",2,"G61"
"125","Chalupa Batman's Bracket","Virginia",2,"G62"
"126","Chalupa Batman's Bracket","Kentucky",1,"G63"
"127","Brandon's Bold Bracket","Kentucky",32,"G1"
"128","Brandon's Bold Bracket","Cincinnati",32,"G2"
"129","Brandon's Bold Bracket","West Virginia",32,"G3"
"130","Brandon's Bold Bracket","Maryland",32,"G4"
"131","Brandon's Bold Bracket","Butler",32,"G5"
"132","Brandon's Bold Bracket","Notre Dame",32,"G6"
"133","Brandon's Bold Bracket","Indiana",32,"G7"
"134","Brandon's Bold Bracket","Kansas",32,"G8"
"135","Brandon's Bold Bracket","Wisconsin",32,"G9"
"136","Brandon's Bold Bracket","Oregon",32,"G10"
"137","Brandon's Bold Bracket","Arkansas",32,"G11"
"138","Brandon's Bold Bracket","N. Carolina",32,"G12"
"139","Brandon's Bold Bracket","Xavier",32,"G13"
"140","Brandon's Bold Bracket","Baylor",32,"G14"
"141","Brandon's Bold Bracket","VCU",32,"G15"
"142","Brandon's Bold Bracket","Arizona",32,"G16"
"143","Brandon's Bold Bracket","Villanova",32,"G17"
"144","Brandon's Bold Bracket","N.C. State",32,"G18"
"145","Brandon's Bold Bracket","Northern Iowa",32,"G19"
"146","Brandon's Bold Bracket","Louisville",32,"G20"
"147","Brandon's Bold Bracket","Providence",32,"G21"
"148","Brandon's Bold Bracket","Oklahoma",32,"G22"
"149","Brandon's Bold Bracket","Michigan St.",32,"G23"
"150","Brandon's Bold Bracket","Virginia",32,"G24"
"151","Brandon's Bold Bracket","Duke",32,"G25"
"152","Brandon's Bold Bracket","St. John's",32,"G26"
"153","Brandon's Bold Bracket","Utah",32,"G27"
"154","Brandon's Bold Bracket","Georgetown",32,"G28"
"155","Brandon's Bold Bracket","UCLA",32,"G29"
"156","Brandon's Bold Bracket","Iowa St.",32,"G30"
"157","Brandon's Bold Bracket","Iowa",32,"G31"
"158","Brandon's Bold Bracket","Gonzaga",32,"G32"
"159","Brandon's Bold Bracket","Kentucky",16,"G33"
"160","Brandon's Bold Bracket","Maryland",16,"G34"
"161","Brandon's Bold Bracket","Notre Dame",16,"G35"
"162","Brandon's Bold Bracket","Indiana",16,"G36"
"163","Brandon's Bold Bracket","Wisconsin",16,"G37"
"164","Brandon's Bold Bracket","N. Carolina",16,"G38"
"165","Brandon's Bold Bracket","Baylor",16,"G39"
"166","Brandon's Bold Bracket","Arizona",16,"G40"
"167","Brandon's Bold Bracket","Villanova",16,"G41"
"168","Brandon's Bold Bracket","Louisville",16,"G42"
"169","Brandon's Bold Bracket","Oklahoma",16,"G43"
"170","Brandon's Bold Bracket","Virginia",16,"G44"
"171","Brandon's Bold Bracket","Duke",16,"G45"
"172","Brandon's Bold Bracket","Georgetown",16,"G46"
"173","Brandon's Bold Bracket","UCLA",16,"G47"
"174","Brandon's Bold Bracket","Gonzaga",16,"G48"
"175","Brandon's Bold Bracket","Kentucky",8,"G49"
"176","Brandon's Bold Bracket","Notre Dame",8,"G50"
"177","Brandon's Bold Bracket","Wisconsin",8,"G51"
"178","Brandon's Bold Bracket","Baylor",8,"G52"
"179","Brandon's Bold Bracket","Louisville",8,"G53"
"180","Brandon's Bold Bracket","Virginia",8,"G54"
"181","Brandon's Bold Bracket","Duke",8,"G55"
"182","Brandon's Bold Bracket","Gonzaga",8,"G56"
"183","Brandon's Bold Bracket","Kentucky",4,"G57"
"184","Brandon's Bold Bracket","Wisconsin",4,"G58"
"185","Brandon's Bold Bracket","Virginia",4,"G59"
"186","Brandon's Bold Bracket","Duke",4,"G60"
"187","Brandon's Bold Bracket","Kentucky",2,"G61"
"188","Brandon's Bold Bracket","Duke",2,"G62"
"189","Brandon's Bold Bracket","Kentucky",1,"G63"
"190","The John Wall-Stars","Kentucky",32,"G1"
"191","The John Wall-Stars","Purdue",32,"G2"
"192","The John Wall-Stars","Buffalo",32,"G3"
"193","The John Wall-Stars","Maryland",32,"G4"
"194","The John Wall-Stars","Butler",32,"G5"
"195","The John Wall-Stars","Notre Dame",32,"G6"
"196","The John Wall-Stars","Wichita St.",32,"G7"
"197","The John Wall-Stars","Kansas",32,"G8"
"198","The John Wall-Stars","Wisconsin",32,"G9"
"199","The John Wall-Stars","Oregon",32,"G10"
"200","The John Wall-Stars","Arkansas",32,"G11"
"201","The John Wall-Stars","N. Carolina",32,"G12"
"202","The John Wall-Stars","Xavier",32,"G13"
"203","The John Wall-Stars","Baylor",32,"G14"
"204","The John Wall-Stars","Ohio St.",32,"G15"
"205","The John Wall-Stars","Arizona",32,"G16"
"206","The John Wall-Stars","Villanova",32,"G17"
"207","The John Wall-Stars","N.C. State",32,"G18"
"208","The John Wall-Stars","Northern Iowa",32,"G19"
