"","Game","team_a","team_b","odds_a","odds_b","Round","Points","Next"
"1","G1","Winner","Hampton","1","0",32,1,"Kentucky"
"2","G2","Winner","Purdue","1","0",32,1,"Cincinnati"
"3","G3","Winner","Buffalo","1","0",32,1,"West Virginia"
"4","G4","Winner","Valparaiso","1","0",32,1,"Maryland"
"5","G5","Winner","Texas","1","0",32,1,"Butler"
"6","G6","Winner","Northeastern","1","0",32,1,"Notre Dame"
"7","G7","Winner","Indiana","1","0",32,1,"Wichita St."
"8","G8","Winner","N. Mex. St.","1","0",32,1,"Kansas"
"9","G9","Winner","Coastal Car.","1","0",32,1,"Wisconsin"
"10","G10","Winner","Oklahoma St.","1","0",32,1,"Oregon"
"11","G11","Winner","Wofford","1","0",32,1,"Arkansas"
"12","G12","Winner","Harvard","1","0",32,1,"N. Carolina"
"13","G13","Winner","Mississippi","1","0",32,1,"Xavier"
"14","G14","Baylor","Winner","0","1",32,1,"Georgia St."
"15","G15","VCU","Winner","0","1",32,1,"Ohio St."
"16","G16","Winner","Texas Southern","1","0",32,1,"Arizona"
"17","G17","Winner","Lafayette","1","0",32,1,"Villanova"
"18","G18","Winner","LSU","1","0",32,1,"N.C. State"
"19","G19","Winner","Wyoming","1","0",32,1,"Northern Iowa"
"20","G20","Winner","UC Irvine","1","0",32,1,"Louisville"
"21","G21","Providence","Winner","0","1",32,1,"Dayton"
"22","G22","Winner","Albany","1","0",32,1,"Oklahoma"
"23","G23","Winner","Georgia","1","0",32,1,"Michigan St."
"24","G24","Winner","Belmont","1","0",32,1,"Virginia"
"25","G25","Winner","Robert Morris","1","0",32,1,"Duke"
"26","G26","Winner","St. John's","1","0",32,1,"S. Diego St."
"27","G27","Winner","S.F. Austin","1","0",32,1,"Utah"
"28","G28","Winner","Eastern Wash.","1","0",32,1,"Georgetown"
"29","G29","SMU","Winner","0","1",32,1,"UCLA"
"30","G30","Iowa St.","Winner","0","1",32,1,"UAB"
"31","G31","Winner","Davidson","1","0",32,1,"Iowa"
"32","G32","Winner","N. Dak. St.","1","0",32,1,"Gonzaga"
"33","G33","Winner","Cincinnati","1","0",16,2,"Kentucky"
"34","G34","Winner","Maryland","1","0",16,2,"West Virginia"
"35","G35","Butler","Winner","0","1",16,2,"Notre Dame"
"36","G36","Winner","Kansas","1","0",16,2,"Wichita St."
"37","G37","Winner","Oregon","1","0",16,2,"Wisconsin"
"38","G38","Arkansas","Winner","0","1",16,2,"N. Carolina"
"39","G39","Winner","Georgia St.","1","0",16,2,"Xavier"
"40","G40","Ohio St.","Winner","0","1",16,2,"Arizona"
"41","G41","Villanova","Winner","0","1",16,2,"N.C. State"
"42","G42","Northern Iowa","Winner","0","1",16,2,"Louisville"
"43","G43","Dayton","Winner","0","1",16,2,"Oklahoma"
"44","G44","Winner","Virginia","1","0",16,2,"Michigan St."
"45","G45","Winner","S. Diego St.","1","0",16,2,"Duke"
"46","G46","Winner","Georgetown","1","0",16,2,"Utah"
"47","G47","Winner","UAB","1","0",16,2,"UCLA"
"48","G48","Iowa","Winner","0","1",16,2,"Gonzaga"
"49","G49","Kentucky","West Virginia","G49OddsA","G49OddsB",8,4,"G57TeamA"
"50","G50","Notre Dame","Wichita St.","G50OddsA","G50OddsB",8,4,"G57TeamB"
"51","G51","Wisconsin","N. Carolina","G51OddsA","G51OddsB",8,4,"G58TeamA"
"52","G52","Xavier","Arizona","G52OddsA","G52OddsB",8,4,"G58TeamB"
"53","G53","N.C. State","Louisville","G53OddsA","G53OddsB",8,4,"G59TeamA"
"54","G54","Oklahoma","Michigan St.","G54OddsA","G54OddsB",8,4,"G59TeamB"
"55","G55","Duke","Utah","G55OddsA","G55OddsB",8,4,"G60TeamA"
"56","G56","UCLA","Gonzaga","G56OddsA","G56OddsB",8,4,"G60TeamB"
"57","G57","G57TeamA","G57TeamB","G57OddsA","G57OddsB",4,8,"G61TeamA"
"58","G58","G58TeamA","G58TeamB","G58OddsA","G58OddsB",4,8,"G61TeamB"
"59","G59","G59TeamA","G59TeamB","G59OddsA","G59OddsB",4,8,"G62TeamA"
"60","G60","G60TeamA","G60TeamB","G60OddsA","G60OddsB",4,8,"G62TeamB"
"61","G61","G61TeamA","G61TeamB","G61OddsA","G61OddsB",2,16,"G63TeamA"
"62","G62","G62TeamA","G62TeamB","G62OddsA","G62OddsB",2,16,"G63TeamB"
"63","G63","G63TeamA","G63TeamB","G63OddsA","G63OddsB",1,32,"Champ"
